id,nombre,codigo,estrato,id_comuna,created,updated
2000,Terrón Colorado,101,2,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2001,Vista Hermosa,102,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2002,Sector Patio Bonito,196,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2003,Aguacatal,199,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2004,Santa Rita,201,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2005,Santa Teresita,202,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2006,Arboledas,203,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2007,Normandía,204,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2008,Juanambú,205,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2009,Centenario,206,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2010,Granada,207,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2011,Versalles,208,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2012,San Vicente,209,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2013,Santa Mónica,210,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2014,Prados del Norte,211,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2015,La Flora,212,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2016,La Campiña,213,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2017,La Paz,214,3,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2018,El Bosque,215,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2019,Menga,216,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2020,Ciudad Los Alamos,217,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2021,Chipichape,218,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2022,Brisas de los Alamos,219,3,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2023,Urbanización La Merced,293,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2024,Vipasa,294,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2025,Urbanización La Flora,295,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2026,Altos de Menga,296,1,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2027,Sector Altos Normandía,297,1,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2028,Senderos de la Flora,298,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2029,El Nacional,301,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2030,El Peñón,302,5,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2031,San Antonio,303,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2032,San Cayetano,304,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2033,Los Libertadores,305,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2034,San Juan Bosco,306,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
