id,nombre,codigo,created,updated
1000,Comuna 1,C1,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1001,Comuna 2,C2,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1002,Comuna 3,C3,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1003,Comuna 4,C4,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1004,Comuna 5,C5,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1005,Comuna 6,C6,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1006,Comuna 7,C7,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1007,Comuna 8,C8,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1008,Comuna 9,C9,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1009,Comuna 10,C10,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1010,Comuna 11,C11,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1011,Comuna 12,C12,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1012,Comuna 13,C13,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1013,Comuna 14,C14,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1014,Comuna 15,C15,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1015,Comuna 16,C16,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1016,Comuna 17,C17,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1017,Comuna 18,C18,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1018,Comuna 19,C19,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1019,Comuna 20,C20,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1020,Comuna 21,C21,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1021,Comuna 22,C22,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
