id,nombre,created,updated
1000,Comuna 1,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1001,Comuna 2,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1002,Comuna 3,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1003,Comuna 4,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1004,Comuna 5,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1005,Comuna 6,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1006,Comuna 7,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1007,Comuna 8,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1008,Comuna 9,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1009,Comuna 10,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1010,Comuna 11,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1011,Comuna 12,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1012,Comuna 13,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1013,Comuna 14,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1014,Comuna 15,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1015,Comuna 16,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1016,Comuna 17,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1017,Comuna 18,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1018,Comuna 19,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1019,Comuna 20,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1020,Comuna 21,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
1021,Comuna 22,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2000,Terrón Colorado,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2001,Vista Hermosa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2002,Sector Patio Bonito,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2003,Aguacatal,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2004,Santa Rita,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2005,Santa Teresita,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2006,Arboledas,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2007,Normandía,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2008,Juanambú,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2009,Centenario,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2010,Granada,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2011,Versalles,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2012,San Vicente,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2013,Santa Mónica,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2014,Prados del Norte,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2015,La Flora,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2016,La Campiña,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2017,La Paz,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2018,El Bosque,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2019,Menga,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2020,Ciudad Los Alamos,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2021,Chipichape,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2022,Brisas de los Alamos,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2023,Urbanización La Merced,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2024,Vipasa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2025,Urbanización La Flora,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2026,Altos de Menga,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2027,Sector Altos Normandía,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2028,Senderos de la Flora,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2029,El Nacional,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2030,El Peñón,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2031,San Antonio,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2032,San Cayetano,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2033,Los Libertadores,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2034,San Juan Bosco,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2035,Santa Rosa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2036,La Merced,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2037,San Pascual,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2038,El Calvario,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2039,San Pedro,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2040,San Nicolas,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2041,El Hoyo,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2042,El Piloto,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2043,Navarro - La Chanca,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2044,Jorge Isaacs,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2045,Santander,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2046,Porvenir,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2047,Las Delicias,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2048,Manzanares,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2049,Salomia,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2050,Fátima,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2051,Sultana - Berlín - San Francisco,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2052,Popular,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2053,Ignacio Rengifo,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2054,Guillermo Valencia,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2055,La Isla,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2056,Marco Fidel Suárez,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2057,Evaristo García,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2058,La Esmeralda,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2059,Bolivariano,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2060,Olaya Herrera,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2061,Unidad Residencial Bueno Madrid,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2062,Flora Industrial,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2063,Calima,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2064,Industria de Licores,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2065,La Alianza,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2066,El Sena,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2067,Los Andes,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2068,Los Guayacanes,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2069,Chiminangos Segunda Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2070,Chiminangos Primera Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2071,Metropolitano del Norte,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2072,Los Parques - Barranquilla,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2073,Villa del Sol,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2074,Paseo de Los Almendros,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2075,Los Andes B - La Riviera,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2076,Torres de Comfandi,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2077,Villa del Prado - El Guabito,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2078,San Luís,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2079,Jorge Eliecer Gaitán,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2080,Paso del Comercio,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2081,Los Alcázares,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2082,Petecuy Primera Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2083,Petecuy Segunda Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2084,La Rivera Primera Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2085,Los Guaduales,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2086,Petecuy Tercera Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2087,Ciudadela Floralia,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2088,Fonaviemcali,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2089,San Luís II,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2090,Urbanización Calimio,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2091,Sector Puente del Comercio,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2092,Alfonso López P. 1a. Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2093,Alfonso López P. 2a. Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2094,Alfonso López P. 3a. Etapa,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2095,Puerto Nuevo,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2096,Puerto Mallarino,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2097,Urbanización El Angel del Hogar,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
