id,nombre,codigo,id_vereda,created,updated
1,Navarro (Cabecera),5101,1,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
2,El Estero,5102,1,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
3,Zona de reserva agrícola,5198,1,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
4,Jarillón Navarro,5199,1,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
5,El Hormiguero (Cabecera),5201,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
6,Morgan,5202,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
7,La Paila,5203,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
8,Cauca Viejo,5204,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
9,Cascajal,5205,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
10,Zona de reserva agrícola,5289,2,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
11,La Vorágine,5301,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
12,Pance (Cabecera),5302,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
13,San Francisco,5312,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
14,El Jardín,5314,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
15,Pico de Aguila,5319,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
16,El Banqueo,5313,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
17,El Peón,5320,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
18,La María,5398,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
19,Pance Suburbano (La Viga),5399,3,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
20,La Buitrera (Cabecera),5401,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
21,La Riverita,5410,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
22,El Rosario,5411,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
23,El Otoño,5413,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
24,Alto de Los Mangos,5418,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
25,La Luisa,5486,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
26,La Sirena,5487,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
27,Parque de La Bandera,5492,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
28,Cantaclaro,5493,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
29,Club Campestre,5496,4,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
30,Villacarmelo (Cabecera),5501,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
31,La Fonda,5502,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
32,Dos Quebradas,5503,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
33,La Candelaria,5504,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
34,El Carmen,5505,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
35,La Sirena,5599,5,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
36,Los Andes (Cabecera),5601,6,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
37,Los Cárpatos,5602,6,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
38,Quebrada Honda,5603,6,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
