id,nombre,codigo,created,updated
1,NAVARRO,5100,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
2,EL HORMIGUERO,5200,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
3,PANCE,5300,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
4,LA BUITRERA,5400,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
5,VILLACARMELO,5500,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
6,LOS ANDES,5600,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
7,PICHINDE,5700,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
8,LA LEONERA,5800,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
9,FELIDIA,5900,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
10,EL SALADITO,6000,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
11,LA ELVIRA,6100,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
12,LA CASTILLA,6200,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
13,LA PAZ,6300,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
14,MONTEBELLLO,6400,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
15,GOLONDRINAS,6500,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
